strain,id,flavors,positive,medical,Type,Rating,Flavor
Chemnesia,517,"Citrus, Diesel, Lemon","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Fatigue, Headaches, Inflammation",hybrid,4.8,"Diesel,Sweet,Citrus"
Chemo,518,"Earthy, Pungent, Woody","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.4,"Earthy,Woody,Pine"
Chernobyl,520,"Citrus, Lime, Lemon","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.4,"Citrus,Lime,Lemon"
Cherries Jubilee,521,"Berry, Sweet, Tree Fruit","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Fatigue",indica,4.4,"Berry,Woody,Sage"
Cherry Bomb,523,"Citrus, Flowery, Violet","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.3,"Berry,Pungent,Skunk"
Cherry Cookies,524,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Cramps, Lack of Appetite, Nausea",hybrid,4.6,"Sweet,Berry,Pungent"
Cherry Cream Pie,525,"Pungent, Sweet, Citrus","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Lack of Appetite",hybrid,4.3,"Sweet,Chemical,Pungent"
Cherry Diesel,526,"Berry, Sweet, Diesel","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.7,"Berry,Sweet,Citrus"
Cherry Durban Poison,527,"Berry, Sweet, Pungent","Euphoric, Happy, Creative, Energetic, Talkative","Depression, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.3,"Flowery,Citrus,Sweet"
Cherry Grapefruit,528,"Berry, Butter, Grape","Relaxed, Happy, Creative, Focused","Stress, Cramps, Lack of Appetite",hybrid,4.3,"Berry,Sweet,Flowery"
Cherry Kola,529,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.7,"Berry,Sweet,Pungent"
Cherry Kush,530,"Berry, Earthy, Pungent","Relaxed, Hungry, Euphoric, Sleepy","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.2,"Sweet,Berry,Earthy"
Cherry Limeade,531,"Berry, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted","Insomnia, Pain, Stress, Lack of Appetite, Inflammation",hybrid,4.3,"Sweet,Lime,Citrus"
Cherry Pie,533,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.4,"Sweet,Berry,Earthy"
Cherry Pie Kush,534,"Berry, Earthy, Sweet","Euphoric, Happy, Talkative, Uplifted, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.2,"Lavender,Berry,Sweet"
Cherry Sherbet,536,"Sweet, Diesel, Pungent","Relaxed, Hungry, Sleepy, Giggly","Depression, Pain, Stress, Cramps, Lack of Appetite",hybrid,4.3,"Berry,Sweet,Diesel"
Cherry Skunk,537,"Sweet, Berry, Skunk","Relaxed, Euphoric, Creative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.4,"Earthy,Sweet,Skunk"
Cherry Thunder Fuck,538,"Earthy, Berry, Pungent","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Pain, Stress, Fatigue, Muscle Spasms",hybrid,4.8,"Berry,Pungent,Earthy"
Chiesel,539,"Cheese, Diesel, Pungent","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.4,"Diesel,Pungent,Cheese"
China Yunnan,540,"Earthy, Cheese, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Stress, Lack of Appetite, Headaches",indica,4.3,"Sweet,Earthy,Cheese"
Chiquita Banana,541,"Sweet, Orange, Citrus","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.9,"Sweet,Orange,Lemon"
Chloe,542,"Sweet, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Inflammation, Muscle Spasms",hybrid,4.9,"Earthy,Spicy/Herbal,Sweet"
Chocolate Chunk,544,"Earthy, Sweet, Woody","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Fatigue",indica,4.2,"Sweet,Woody,Earthy"
Chocolate Diesel,545,"Diesel, Nutty, Pine","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.6,"Diesel,Woody,Nutty"
Chocolate Drop,546,"Earthy, Vanilla","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress",hybrid,5.0,"Earthy,Vanilla"
Chocolate Fondue,547,"Cheese, Earthy, Sweet","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Stress, Lack of Appetite, Nausea, Fatigue",sativa,4.6,"Sweet,Cheese,Earthy"
Chocolate Hashberry,548,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.5,"Berry,Earthy,Sweet"
Chocolate Kush,549,"Earthy, Coffee, Tea","Relaxed, Euphoric, Happy, Creative, Uplifted","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.5,"Earthy,Sweet,Woody"
Chocolate Thai,552,"Spicy/Herbal, Earthy, Woody","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea",sativa,4.2,"Spicy/Herbal,Coffee,Woody"
Chocolate Thunder,553,"Honey, Nutty, Apricot","Happy, Creative, Energetic, Uplifted, Focused","Depression, Stress, Fatigue, Headaches, Inflammation",sativa,4.1,"Honey,Nutty,Spicy/Herbal"
Chocolope,555,"Coffee, Earthy, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.3,"Coffee,Earthy,Sweet"
Chocolope Kush,556,"Earthy, Pungent, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",hybrid,4.0,"Earthy,Sweet,Vanilla"
Chong Star,557,"Earthy, Honey, Flowery","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Honey,Earthy,Skunk"
Chronic,558,"Skunk, Woody, Pungent","Happy, Energetic, Talkative, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.4,"Woody,Spicy/Herbal,Sweet"
Chronic Thunder,559,"Diesel, Pungent, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.5,"Pungent,Sweet,Diesel"
Chunky Diesel,561,"Diesel, Earthy, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.6,"Diesel,Pungent,Earthy"
Chupacabra,562,"Earthy, Vanilla, Nutty","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.8,"Earthy,Vanilla,Sweet"
Cinderella 99,564,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.4,"Citrus,Earthy,Sweet"
Cindy White,566,"Earthy, Pungent, Berry","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.6,"Earthy,Citrus,Lemon"
Cinex,567,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.3,"Earthy,Citrus,Sweet"
Cirrus,568,"Diesel, Menthol, Pungent","Euphoric, Creative, Talkative, Giggly","Depression, Nausea, Fatigue, Headaches, Inflammation",sativa,5.0,"Diesel,Menthol,Grape"
Citrix,569,"Citrus, Grapefruit, Orange","Euphoric, Happy, Energetic, Uplifted, Aroused","Depression, Stress, Lack of Appetite, Nausea, Fatigue",hybrid,4.3,"Citrus,Lemon,Grapefruit"
Citrus Kush,570,"Citrus, Lemon, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue",hybrid,4.2,"Citrus,Orange,Sweet"
Citrus Punch,571,"Citrus, Orange, Mango","Happy, Energetic, Focused","Depression, Fatigue",sativa,4.2,"Citrus,Orange,Tropical"
Citrus Sap,572,"Citrus, Orange, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.4,"Citrus,Orange,Pungent"
Citrus Sunshine Haze,573,"Citrus, Orange, Lemon","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.8,"Citrus,Orange,Lemon"
Clementine,574,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches",sativa,4.3,"Citrus,Orange,Sweet"
Clementine Kush,575,"Citrus, Earthy, Flowery","Relaxed, Euphoric, Happy, Tingly, Giggly","Depression, Insomnia, Stress, Lack of Appetite, Inflammation",hybrid,4.4,"Citrus,Orange,Flowery"
Clockwork Orange,576,"Citrus, Lemon, Orange","Relaxed, Hungry, Uplifted","Depression, Pain, Stress, Lack of Appetite",hybrid,5.0,"Spicy/Herbal,Sweet,Citrus"
Cloud 9,577,"Flowery, Pine, Rose","Relaxed, Happy, Energetic, Talkative, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.3,"Tropical,Flowery,Rose"
Club 69,578,"Diesel, Earthy, Flowery","Relaxed, Sleepy","Pain, Stress",indica,5.0,"Diesel,Flowery,Earthy"
Cluster Bomb,579,Sweet,"Relaxed, Euphoric, Energetic, Focused","Stress, Headaches",hybrid,4.3,Sweet
Cold Creek Kush,580,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.3,"Earthy,Pine,Woody"
Colombian Gold,581,"Earthy, Pungent, Citrus","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.5,"Earthy,Pungent,Spicy/Herbal"
Colombian Mojito,582,"Citrus, Lime, Minty","Euphoric, Creative, Energetic, Aroused","Pain, Nausea, Headaches",sativa,5.0,"Minty,Sweet,Citrus"
Colorado Bubba,583,"Mango, Pineapple, Nutty","Relaxed, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.6,"Pineapple,Mango,Pine"
Colorado Chem,584,"Skunk, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Giggly","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.4,"Earthy,Sweet,Skunk"
Colorado Clementines,585,"Citrus, Lemon, Orange","Relaxed, Hungry, Euphoric, Creative, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.5,"Citrus,Earthy,Orange"
Commerce City Kush,586,"Diesel, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Creative","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.3,"Diesel,Sweet,Flowery"
Concord Grape Blockhead,587,"Grape, Sweet","Euphoric, Creative, Giggly","Depression, Insomnia, Cramps, Lack of Appetite, Muscle Spasms",hybrid,4.3,"Sweet,Grape"
Confidential Cheese,588,"Cheese, Pine, Nutty","Relaxed, Hungry, Happy, Creative, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Cheese,Pine,Woody"
Connie Chung,590,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Sweet,Earthy,Pine"
Conspiracy Kush,591,"Sweet, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative","Insomnia, Pain, Stress, Headaches, Inflammation",indica,4.6,"Spicy/Herbal,Berry,Earthy"
Cookie Breath,592,"Earthy, Sweet, Minty","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,5.0,"Sweet,Pungent,Earthy"
Cookie Dough,593,"Earthy, Sweet, Pungent","Relaxed, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Sweet,Earthy,Vanilla"
Cookie Jar,594,"Pungent, Earthy, Flowery","Relaxed, Hungry, Euphoric, Uplifted, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.6,"Pungent,Sweet,Flowery"
Cookie Monster,595,"Flowery, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Sleepy","Insomnia, Pain, Stress, Headache, Eye Pressure, Spasticity",indica,4.5,"Sweet,Earthy,Flowery"
Cookie Wreck,596,"Sweet, Earthy, Woody","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.6,"Sweet,Earthy,Pungent"
Cookies Kush,597,"Sweet, Pungent, Earthy","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Sweet,Earthy,Pungent"
Copper Kush,600,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Cramps, Headaches",indica,3.9,"Earthy,Pungent,Woody"
Corleone Kush,601,"Skunk, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Headache, Spasticity, Muscle Spasms",indica,4.6,"Earthy,Spicy/Herbal,Flowery"
Cornbread,602,"Lemon, Citrus, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.6,"Lemon,Citrus,Woody"
Cotton Candy Kush,604,"Sweet, Flowery, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.3,"Sweet,Berry,Flowery"
Cotton Purple Chem,605,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Fatigue, Headaches, Muscle Spasms",hybrid,4.4,"Sweet,Earthy,Berry"
Cracker Jack,606,"Sweet, Earthy, Woody","Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.2,"Sweet,Woody,Citrus"
Crater Lake,607,"Citrus, Pine, Pungent","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",hybrid,4.6,"Citrus,Pine,Pungent"
Crazy Miss Hyde,608,"Sweet, Vanilla, Butter","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Nausea, Eye Pressure, Inflammation",hybrid,4.9,"Sweet,Vanilla,Butter"
Cream Caramel,609,"Sweet, Earthy, Honey","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.2,"Butter,Sweet,Honey"
Crimea Blue,610,"Blueberry, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Eye Pressure",hybrid,4.3,"Berry,Tea,Blueberry"
Critical 47,611,"Honey, Skunk, Pungent","Relaxed, Happy, Creative, Sleepy, Giggly","Depression, Insomnia, Stress, Cramps, Inflammation",hybrid,4.3,"Honey,Skunk,Sweet"
Critical Bilbo,612,"Tobacco, Cheese, Pepper","Relaxed, Euphoric, Happy, Talkative","Depression, Insomnia, Stress, Inflammation, Spasticity",hybrid,4.4,"Tobacco,Sweet,Earthy"
Critical Cheese,613,"Cheese, Pungent, Earthy","Hungry, Euphoric, Creative, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.2,"Cheese,Earthy,Pungent"
Critical Haze,614,"Citrus, Spicy/Herbal, Earthy","Relaxed, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.3,"Citrus,Earthy,Pine"
Critical Hog,615,"Earthy, Pungent, Flowery","Relaxed, Hungry, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.2,"Earthy,Woody,Flowery"
Critical Jack,616,"Citrus, Lemon, Pine","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.4,"Pine,Citrus,Woody"
Critical Kali Mist,617,"Pine, Sweet, Earthy","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Stress, Fatigue, Inflammation, Muscle Spasms",sativa,4.6,"Pine,Sweet,Earthy"
Critical Kush,618,"Earthy, Pungent, Woody","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.5,"Earthy,Pungent,Sweet"
Critical Mass,619,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.3,"Earthy,Pungent,Sweet"
Critical Plus,620,"Pungent, Woody, Pine","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Insomnia, Stress, Nausea, Headache, Headaches",hybrid,4.2,"Woody,Spicy/Herbal,Pungent"
Critical Sensi Star,622,"Sweet, Tree Fruit, Citrus","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Cramps, Muscle Spasms",indica,4.2,"Citrus,Sweet,Lemon"
Critical Widow,624,"Citrus, Sweet, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Cramps, Inflammation",hybrid,4.3,"Citrus,Pungent,Sweet"
Critters Cookies,625,"Earthy, Lemon, Pungent","Relaxed, Happy, Uplifted, Giggly","Depression, Pain, Stress",hybrid,3.5,"Lemon,Earthy,Pungent"
Crosswalker,627,"Blueberry, Pine, Earthy","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Nausea, Eye Pressure, Inflammation",indica,4.4,"Sweet,Blueberry,Pine"
Crouching Tiger Hidden Alien,628,"Pine, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Sleepy","Pain, Stress, Nausea, Inflammation, Muscle Spasms",indica,4.8,"Pine,Spicy/Herbal,Earthy"
Crown Royale,630,"Sweet, Pungent, Flowery","Relaxed, Euphoric, Happy, Focused, Aroused","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.7,"Sweet,Flowery,Berry"
Crunch Berry Kush,631,"Berry, Sweet, Lemon","Relaxed, Euphoric, Happy, Focused","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.4,"Sweet,Berry,Honey"
Crypt,632,"Sweet, Cheese, Lemon","Relaxed, Euphoric, Happy, Focused, Giggly","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.4,"Sweet,Cheese,Pungent"
Crystal Coma,633,"Earthy, Citrus, Sweet","Euphoric, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",sativa,4.6,"Flowery,Earthy,Citrus"
Crystal Gayle,634,"Earthy, Diesel, Skunk","Hungry, Euphoric, Happy, Creative, Focused",Muscle Spasms,hybrid,4.4,"Diesel,Earthy,Skunk"
Crystalberry,635,"Sweet, Berry, Blueberry","Relaxed, Hungry, Sleepy, Giggly, Aroused","Insomnia, Pain, Stress, Nausea, Headaches",indica,4.5,"Berry,Blueberry,Grape"
Cuvee,636,"Citrus, Flowery, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Headaches",indica,4.5,"Earthy,Grape,Berry"
Dairy Queen,640,"Cheese, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.4,"Cheese,Sweet,Earthy"
Damn Sour,642,"Earthy, Sweet, Citrus","Hungry, Euphoric, Happy, Creative, Energetic","Depression, Pain, Cramps, Nausea, Headaches",sativa,4.0,"Sweet,Earthy,Ammonia"
Damnesia,643,"Pepper, Spicy/Herbal, Earthy","Relaxed, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.2,"Spicy/Herbal,Pepper,Earthy"
Dance World,644,"Flowery, Pungent, Citrus","Relaxed, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Inflammation",sativa,4.6,"Earthy,Citrus,Spicy/Herbal"
Dancehall,645,"Earthy, Sweet, Spicy/Herbal","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Stress, Cramps, Inflammation",hybrid,4.6,"Earthy,Citrus,Flowery"
Dank Schrader,646,"Tropical, Pine, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.9,"Tropical,Pine,Earthy"
Dank Sinatra,647,"Berry, Blue Cheese, Diesel","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Fatigue",hybrid,5.0,"Diesel,Berry,Tropical"
Dark Blue Dream,649,"Sweet, Berry, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Sweet,Berry,Blueberry"
Dark Star,651,"Earthy, Woody, Pine","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.4,"Earthy,Pungent,Skunk"
Day Tripper,656,"Butter, Citrus, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Insomnia, Pain, Nausea, Fatigue, Muscle Spasms",hybrid,4.0,"Blueberry,Strawberry,Pineapple"
Deadwood,658,"Berry, Earthy, Lavender","Relaxed, Creative, Sleepy, Focused","Pain, Stress, Muscle Spasms",indica,3.9,"Berry,Lavender,Earthy"
Death Bubba,659,"Pungent, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.7,"Earthy,Pungent,Sweet"
Death Star,660,"Earthy, Diesel, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.6,"Earthy,Diesel,Pungent"
Deep Cheese,662,"Cheese, Pungent, Skunk","Relaxed, Happy, Uplifted, Sleepy, Focused","Cramps, Lack of Appetite, Nausea, Fatigue",hybrid,4.3,"Cheese,Pungent,Skunk"
Deep Chunk,663,"Earthy, Plum, Ammonia","Relaxed, Euphoric, Happy, Creative, Sleepy","Insomnia, Pain, Stress, Fatigue, Eye Pressure",indica,4.3,"Plum,Earthy,Ammonia"
Deep Purple,664,"Grape, Earthy, Ammonia","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,3.9,"Grape,Earthy,Sweet"
Deep Sleep,665,"Sweet, Pungent, Diesel","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",indica,4.5,"Pungent,Earthy,Sweet"
Denver Maple,667,"Sweet, Earthy, Pine","Relaxed, Happy, Uplifted, Sleepy, Giggly","Depression, Stress, Cramps, Headaches, Eye Pressure",indica,4.4,"Sweet,Earthy,Pine"
Desert Star,668,Earthy,"Hungry, Creative, Tingly, Sleepy","Depression, Pain, Stress, Nausea, Spasticity",hybrid,4.8,Earthy
Destroyer,669,"Lavender, Flowery, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Insomnia, Stress, Cramps, Fatigue",sativa,4.9,"Lavender,Ammonia,Sweet"
Devil Fruit,670,"Pepper, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Focused","Depression, Insomnia, Pain, Stress, Spasticity",indica,4.4,"Spicy/Herbal,Pepper,Sweet"
Diablo,672,"Earthy, Spicy/Herbal, Pungent","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.1,"Sweet,Earthy,Spicy/Herbal"
Diamond Valley Kush,675,"Earthy, Spicy/Herbal, Pungent","Relaxed, Happy, Creative, Energetic, Focused","Depression, Stress, Cramps, Fatigue, Eye Pressure",hybrid,5.0,"Earthy,Spicy/Herbal,Pungent"
Diesel Duff,676,"Flowery, Honey, Skunk","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms",hybrid,3.8,"Sweet,Flowery,Honey"
Dieseltonic,677,"Diesel, Earthy, Woody","Relaxed, Sleepy, Focused, Giggly","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.1,"Diesel,Earthy,Woody"
Digweed,678,"Earthy, Skunk, Pungent","Relaxed, Happy, Creative, Uplifted, Sleepy","Depression, Pain, Stress, Cramps, Inflammation",indica,3.9,"Earthy,Skunk,Spicy/Herbal"
Dinachem,679,"Diesel, Pungent, Tropical","Relaxed, Euphoric, Energetic, Talkative, Uplifted","Depression, Stress",hybrid,4.7,"Tropical,Pungent,Earthy"
Dirty Girl,680,"Sweet, Flowery, Pine","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.5,"Citrus,Sweet,Lemon"
Dirty Widow,682,"Sweet, Earthy, Pungent","Hungry, Euphoric, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Fatigue",hybrid,4.2,"Sweet,Earthy,Pungent"
Disney Blue,683,"Blueberry, Pungent, Berry","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Fatigue, Headaches, Inflammation",hybrid,4.5,"Sweet,Lime,Apple"
Django,685,"Earthy, Sweet, Pungent","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Insomnia, Stress, Fatigue, Muscle Spasms",sativa,4.6,"Sweet,Flowery,Earthy"
Doctor Doctor,688,"Citrus, Flowery, Strawberry","Relaxed, Happy, Uplifted, Focused, Aroused","Pain, Nausea, Headaches, Inflammation, Muscle Spasms",sativa,5.0,"Sweet,Strawberry,Citrus"
Dog Shit,689,"Earthy, Pungent, Berry","Relaxed, Euphoric, Creative, Energetic","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms",hybrid,4.3,"Pungent,Earthy,Berry"
Don Shula,693,"Citrus, Pungent, Tropical","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Fatigue, Headaches",hybrid,5.0,"Citrus,Tropical,Diesel"
Donegal,694,"Earthy, Woody, Pungent","Relaxed, Euphoric, Energetic, Talkative","Depression, Insomnia, Stress, Fatigue",hybrid,3.8,"Earthy,Woody,Pungent"
Doobiebird Daydream,696,"Blueberry, Earthy, Pine","Relaxed, Euphoric, Creative, Uplifted","Headaches, Eye Pressure",hybrid,4.6,"Blueberry,Earthy,Sweet"
Doox,697,"Citrus, Lemon, Lime","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Inflammation, Muscle Spasms",sativa,4.4,"Sweet,Citrus,Lime"
