strain,id,flavors,positive,medical,Type,Rating,Flavor
Maui Pineapple Chunk,1341,"Pineapple, Tropical, Earthy","Euphoric, Creative, Talkative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",hybrid,4.7,"Tropical,Flowery,Menthol"
Maui Wowie,1342,"Tropical, Pineapple, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Tropical,Pineapple,Citrus"
Mazar I Sharif,1343,"Sweet, Spicy/Herbal, Citrus","Relaxed, Euphoric, Happy, Creative, Sleepy","Insomnia, Pain, Lack of Appetite, Inflammation, Muscle Spasms",indica,4.4,"Earthy,Spicy/Herbal,Pine"
Mazar Kush,1344,"Pungent, Earthy, Nutty","Relaxed, Happy, Sleepy, Giggly","Insomnia, Pain, Stress, Nausea, Inflammation",indica,4.3,"Pungent,Earthy,Spicy/Herbal"
Mean Misty,1345,"Flowery, Sweet","Relaxed, Euphoric, Energetic, Talkative, Uplifted","Depression, Insomnia, Stress",hybrid,4.2,"Flowery,Sweet"
Medibud,1347,"Sweet, Berry, Flowery","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headache, Inflammation",hybrid,4.5,"Sweet,Earthy,Skunk"
Medicine Man,1348,"Woody, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Talkative","Pain, Stress, Nausea, Headache, Headaches, Inflammation",hybrid,4.4,"Berry,Woody,Earthy"
Medicine Woman,1349,"Earthy, Citrus, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Cramps, Fatigue",hybrid,4.6,"Earthy,Citrus,Diesel"
Medusa,1350,"Earthy, Butter, Nutty","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.1,"Earthy,Blueberry,Pungent"
Mega Jackpot,1351,"Berry, Grape, Strawberry","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.0,"Berry,Strawberry,Grape"
Megalodon,1352,"Skunk, Earthy, Spicy/Herbal","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Fatigue",sativa,4.4,"Skunk,Pungent,Earthy"
Melon Gum,1354,"Sweet, Lavender, Flowery","Relaxed, Happy, Creative, Uplifted, Sleepy","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.3,"Sweet,Lavender,Flowery"
Memory Loss,1355,"Earthy, Woody, Citrus","Hungry, Euphoric, Talkative, Uplifted","Depression, Pain, Stress, Fatigue, Muscle Spasms",sativa,4.6,"Earthy,Sweet,Woody"
Mendo Breath,1356,"Earthy, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.8,"Earthy,Pungent,Sweet"
Mendocino Purps,1357,"Grape, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.3,"Earthy,Grape,Flowery"
Mexican,1360,"Earthy, Woody, Diesel","Uplifted, Focused","Depression, Stress, Lack of Appetite, Headache, Fatigue, Eye Pressure",sativa,3.4,"Earthy,Woody,Diesel"
Mexican Sativa,1361,"Woody, Pine, Pungent","Hungry, Euphoric, Happy, Energetic, Talkative","Depression, Pain, Stress, Headache, Headaches, Eye Pressure",sativa,3.3,"Woody,Earthy,Nutty"
Mickey Kush,1363,"Earthy, Sweet, Lemon","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Spasticity, Muscle Spasms",sativa,4.6,"Earthy,Sweet,Tree,Fruit"
Middlefork,1364,"Lemon, Earthy, Blueberry","Relaxed, Euphoric, Creative, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.6,"Earthy,Blueberry,Tar"
Midnight,1366,"Earthy, Pine, Lavender","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Inflammation",hybrid,4.4,"Earthy,Pungent,Lavender"
Milky Way,1367,"Sweet, Lavender, Flowery","Euphoric, Happy","Depression, Pain, Stress, Nausea, Headache, Headaches",indica,4.7,"Sweet,Menthol,Pepper"
Millennium,1368,"Blueberry, Earthy, Berry","Hungry, Happy, Giggly","Depression, Pain, Stress, Headache, Fatigue, Headaches",hybrid,4.4,"Blueberry,Earthy,Diesel"
Mint Chocolate Chip,1369,"Earthy, Minty","Relaxed, Euphoric, Happy","Depression, Insomnia, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.6,"Minty,Earthy,Mint"
Mission Kush,1370,Pine,"Euphoric, Happy, Creative, Energetic",Muscle Spasms,hybrid,4.0,Pine
Misty Kush,1371,"Sweet, Mango, Lemon","Relaxed, Euphoric, Happy, Talkative, Uplifted","Insomnia, Pain, Headache, Headaches, Eye Pressure, Muscle Spasms",indica,4.4,"Sweet,Mango,Lemon"
Misty Morning,1372,"Pine, Spicy/Herbal","Relaxed, Euphoric, Sleepy","Depression, Stress, Headaches, Inflammation",hybrid,4.0,"Spicy/Herbal,Pine"
Mob Boss,1373,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Creative, Energetic","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.5,"Earthy,Pine,Citrus"
